arr_port^pax^Airport_Name
LHR     ^88809.0^London Heathrow Airport
INC     ^20.0^Yinchuan Hedong Airport
WBM     ^20.0^Wapenamanda Airport
WRG     ^20.0^Wrangell Airport
NRK     ^20.0^Norrköping Airport
OGX     ^20.0^Ouargla
AUG     ^20.0^Augusta State Airport
NSK     ^20.0^Norilsk-Alykel Airport
VOL     ^20.0^Nea Anchialos National Airport
COQ     ^20.0^Choibalsan Airport
HUU     ^20.0^Alférez FAP David Figueroa Fernandini Airport
PNK     ^20.0^Supadio Airport
UKA     ^20.0^Ukunda Airstrip
PVC     ^20.0^Provincetown Municipal Airport
UKX     ^20.0^Ust-Kut Airport
BKW     ^20.0^Raleigh County Memorial Airport
PUB     ^20.0^Pueblo Memorial Airport
UNG     ^20.0^Kiunga Airport
GRV     ^20.0^Grozny Airport
PSR     ^20.0^Abruzzo Airport
PQS     ^20.0^Pilot Station Airport
PQC     ^20.0^Phu Quoc International Airport
HCR     ^20.0^Holy Cross Airport
PNT     ^20.0^Tte. Julio Gallardo Airport
HGR     ^20.0^Hagerstown Regional Airport
PAG     ^20.0^Pagadian Airport
PLX     ^20.0^Semey Airport
HKD     ^20.0^Hakodate Airport
PJG     ^20.0^Panjgur Airport
HMV     ^20.0^Hemavan Airport
HOF     ^20.0^Al Ahsa Airport
VEL     ^20.0^Vernal Regional Airport
BFF     ^20.0^Western Nebraska Regional Airport
XHJ     ^20.0^Aachen Hauptbahnhof
PDT     ^20.0^Eastern Oregon Regional Airport
BEB     ^20.0^Benbecula Airport
PDS     ^20.0^Piedras Negras International Airport
BDJ     ^20.0^Syamsudin Noor Airport
HPH     ^20.0^Cat Bi International Airport
APN     ^20.0^Alpena County Regional Airport
NGY     ^20.0^Nagoya Bus Station
KWA     ^20.0^Bucholz Army Airfield
YUY     ^20.0^Rouyn-Noranda Airport
MGW     ^20.0^Morgantown Municipal Airport
YVQ     ^20.0^Norman Wells Airport
YWH     ^20.0^Victoria Inner Harbour Seaplane Base
YWL     ^20.0^Williams Lake Airport
MEI     ^20.0^Key Field
YXL     ^20.0^Sioux Lookout Airport
KUT     ^20.0^Kutaisi International Airport
MCN     ^20.0^Middle Georgia Regional Airport
MCK     ^20.0^McCook Ben Nelson Regional Airport
AGB     ^20.0^Augsburg Airport
YYQ     ^20.0^Churchill Airport
KVX     ^20.0^Pobedilovo Airport
MAJ     ^20.0^Amata Kabua International Airport
KOZ     ^20.0^Ouzinkie Airport
YZR     ^20.0^Sarnia Chris Hadfield Airport
KWG     ^20.0^Kryvyi Rih/Lozuvatka International Airport
LYA     ^20.0^Luoyang Beijiao Airport
LAR     ^20.0^Laramie Regional Airport
LUH     ^20.0^Ludhiana Airport
ACH     ^20.0^St. Gallen-Altenrhein Airport
LRE     ^20.0^Longreach Airport
LKL     ^20.0^Lakselv Banak Airport
ZVJ     ^20.0^Abu Dhabi Bus Station
ZVK     ^20.0^Savannakhet Airport
LKG     ^20.0^Lokichoggio Airport
AAN     ^20.0^Al Ain International Airport
ZYN     ^20.0^Nîmes Railway Station
KRF     ^20.0^Höga Kusten Airport
MIM     ^20.0^Merimbula Airport
NDU     ^20.0^Rundu Airport
YKU     ^20.0^Chisasibi Airport
NCY     ^20.0^Annecy-Meythet
XQE     ^20.0^Ebbsfleet International Railway Station
XQP     ^20.0^Quepos La Managua Airport
XRF     ^20.0^Gare Saint-Charles
NAJ     ^20.0^Nakhchivan International Airport
PYH     ^20.0^Cacique Aramare Airport
MXZ     ^20.0^Meixian Airport
JSY     ^20.0^Syros Island National Airport
YGW     ^20.0^Kuujjuarapik Airport
YHD     ^20.0^Dryden Regional Airport
AOO     ^20.0^Altoona-Blair County Airport
YIP     ^20.0^Willow Run Airport
MSS     ^20.0^Massena International Airport-Richards Field
MSE     ^20.0^Kent International Airport
MKM     ^20.0^Mukah Airport
AOJ     ^20.0^Aomori Airport
KGT     ^20.0^Kangding Airport
YMO     ^20.0^Moosonee Airport
KIJ     ^20.0^Niigata Airport
YOJ     ^20.0^High Level Airport
YPR     ^20.0^Prince Rupert Airport
YPX     ^20.0^Puvirnituq Airport
MNG     ^20.0^Maningrida Airport
MMU     ^20.0^Morristown Municipal Airport
YQK     ^20.0^Kenora Airport
MMH     ^20.0^Mammoth Lakes Airport
ALO     ^20.0^Waterloo Municipal Airport
KMS     ^20.0^Kumasi Airport
GMR     ^20.0^Totegegie Airport
OSW     ^20.0^Orsk Airport
EQS     ^20.0^Esquel Airport
SOM     ^20.0^El Tigre San Tomé Airport
ROO     ^20.0^Rondonópolis Airport
BTS     ^20.0^Bratislava Airport
FNJ     ^20.0^Pyongyang Sunan International Airport
BTK     ^20.0^Bratsk Airport
SKU     ^20.0^Skiros Airport
CIU     ^20.0^Chippewa County International Airport
TSF     ^20.0^Treviso Airport
FSP     ^20.0^Saint-Pierre Airport
SKZ     ^20.0^Sukkur Airport
SLI     ^20.0^Solwezi
SLM     ^20.0^Salamanca Airport
DIJ     ^20.0^Dijon-Longvic Air Base
FUT     ^20.0^Pointe Vele Airport
SMX     ^20.0^Santa Maria Airport
DDG     ^20.0^Dandong Langtou Airport
DMB     ^20.0^Taraz Airport
BUA     ^20.0^Buka Airport
DND     ^20.0^Dundee Riverside Airport
EZS     ^20.0^Elazığ Airport
TNN     ^20.0^Tainan Airport
SCM     ^20.0^Scammon Bay Airport
SCV     ^20.0^Suceava / Salcea Airport
EKO     ^20.0^Elko Regional Airport
ESU     ^20.0^Essaouira Airport
TMR     ^20.0^Tamanrasset / Aguenna
EJH     ^20.0^Al Wajh Domestic Airport
TRO     ^20.0^Taree Airport
BZO     ^20.0^Bolzano Dolomiti Airport
EIN     ^20.0^Eindhoven Airport
RSA     ^20.0^Santa Rosa Aerodrome
ROP     ^20.0^Rota International Airport
CFN     ^20.0^Donegal Airport
SHD     ^20.0^Shenandoah Valley Regional Airport
DCN     ^20.0^Derby RAAF Curtin Base
CIJ     ^20.0^Cobija
GGG     ^20.0^Gregg County Airport
CXB     ^20.0^Cox's Bazar Airport
QDU     ^20.0^Düsseldorf Hauptbahnhof
QJZ     ^20.0^Gare de Nantes
QUB     ^20.0^Ubari Airport
CSY     ^20.0^Cheboksary Airport
CTC     ^20.0^Coronel Felipe Varela International Airport
QUO     ^20.0^Akwa Ibom International Airport
GHB     ^20.0^Governor's Harbour Airport
CNM     ^20.0^Cavern City Air Terminal
GGW     ^20.0^Glasgow International Airport
CMF     ^20.0^Chambéry Airport
GFN     ^20.0^Clarence Valley Regional Airport
SVA     ^20.0^Savoonga Airport
RDD     ^20.0^Redding Municipal Airport
SCC     ^20.0^Deadhorse Airport
RIB     ^20.0^Riberalta
TBG     ^20.0^Tabubil Airport
YZZ     ^10.0^Trail Airport
SLU     ^10.0^George F. L. Charles Airport
EGC     ^10.0^Bergerac-Roumanière
YHO     ^10.0^Hopedale Airport
KAD     ^10.0^Kaduna
YGX     ^10.0^Gillam Airport
SDN     ^10.0^Sandane / Anda
MXX     ^10.0^Mora-Siljan Airport
CEC     ^10.0^Jack Mc Namara Field
JQA     ^10.0^Qaarsut Airport
KVL     ^10.0^Kivalina Airport
PZU     ^10.0^Port Sudan International
CDV     ^10.0^Merle K. (Mudhole) Smith Airport
XZI     ^10.0^Gare de Lorraine TGV
SMK     ^10.0^St. Michael Airport
JOS     ^10.0^Yakubu Gowon Airport
ZSE     ^10.0^Saint-Pierre - Pierrefonds Airport
KSQ     ^10.0^Karshi-Khanabad Air Base
CRI     ^10.0^Colonel Hill Airport
JNX     ^10.0^Cyclades Islands, Naxos Airport
SZA     ^10.0^Soyo Airport
NDB     ^10.0^Nouadhibou International Airport
CNY     ^10.0^Canyonlands Field
TMX     ^10.0^Timimoun Airport
CMG     ^10.0^Corumbá International Airport
SOC     ^10.0^Adi Sumarmo International Airport
NOC     ^10.0^Ireland West Airport Knock
NOJ     ^10.0^Noyabrsk Airport
YIH     ^10.0^Yichang Sanxia Airport
ZSA     ^10.0^San Salvador Airport
MKG     ^10.0^Muskegon County Airport
CHU     ^10.0^Chuathbaluk Airport
TGM     ^10.0^Târgu Mureș Transilvania Airport
KWN     ^10.0^Quinhagak Airport
KZR     ^10.0^Kütahya Zafer Airport
JAV     ^10.0^Ilulissat Airport
YZP     ^10.0^Sandspit Airport
LUG     ^10.0^Lugano Airport
MLW     ^10.0^James Spriggs Payne Airfield
CUM     ^10.0^Cumaná Antonio José de Sucre Airport
CXJ     ^10.0^Campo dos Bugres Airport
SKK     ^10.0^Shaktoolik Airport
DLZ     ^10.0^Dalanzadgad Airport
KPO     ^10.0^Pohang Airport
YUD     ^10.0^Umiujaq Airport
CTL     ^10.0^Charleville Airport
MSZ     ^10.0^Namibe Airport
LPK     ^10.0^Lipetsk Airport
TIM     ^10.0^Tembagapura Timika Airport
KKE     ^10.0^Kerikeri Airport
YMT     ^10.0^Chibougamau/Chapais Airport
TIU     ^10.0^Richard Pearse Airport
KGP     ^10.0^Kogalym International Airport
AKF     ^10.0^Kufra Airport
CYZ     ^10.0^Cauayan
TIZ     ^10.0^Tari Airport
DVL     ^10.0^Devils Lake Municipal Airport
DWD     ^10.0^Dawadmi Domestic Airport
MSL     ^10.0^Northwest Alabama Regional Airport
DZN     ^10.0^Zhezkazgan Airport
KUH     ^10.0^Kushiro Airport
PZH     ^10.0^Zhob Airport
IWK     ^10.0^Marine Corps Air Station Iwakuni
TUB     ^10.0^Tubuai – Mataura Airport
VVZ     ^10.0^Takhamalt Airport
ILD     ^10.0^Lleida-Alguaire Airport
ORB     ^10.0^Örebro Airport
ORU     ^10.0^Oruro Airport
BUL     ^10.0^Bulolo Airport
OSR     ^10.0^Leoš Janáček Airport Ostrava
COD     ^10.0^Yellowstone Regional Airport
HYN     ^10.0^Taizhou Luqiao Airport
OXB     ^10.0^Bissau Airport
ERC     ^10.0^Erzincan Airport
PBG     ^10.0^Plattsburgh Air Force Base
HSN     ^10.0^Zhoushan Airport
PED     ^10.0^Pardubice Airport
BFD     ^10.0^Bradford Regional Airport
AWZ     ^10.0^Ahwaz International Airport
HOB     ^10.0^Hobbs Airport
BQB     ^10.0^Busselton Airport
GCK     ^10.0^Garden City Regional Airport
HFS     ^10.0^Hagfors Airport
HET     ^10.0^Hohhot Baita International Airport
UUA     ^10.0^Bugulma Airport
RGS     ^10.0^Burgos Villafria Airport
UTP     ^10.0^U-Tapao International Airport
GDE     ^10.0^Gode Airport
BJF     ^10.0^Båtsfjord Airport
PSG     ^10.0^Petersburg James A. Johnson Airport
UAK     ^10.0^Narsarsuaq Airport
GJL     ^10.0^Jijel Ferhat Abbas Airport
AXA     ^10.0^Clayton J. Lloyd International Airport
HUE     ^10.0^Humera Airport
ISE     ^10.0^Suleyman Demirel
WWK     ^10.0^Wewak Airport
WUS     ^10.0^Nanping Wuyishan Airport
RSU     ^10.0^Yeosu/Suncheon Airport
ERS     ^10.0^Eros Airport
CWC     ^0.0^Chernivtsi Airport
DIG     ^0.0^Diqing Shangri-La Airport
LYG     ^0.0^Lianyungang Baitabu Airport
FUN     ^0.0^Funafuti International Airport
LXG     ^0.0^Louang Namtha Airport
CJJ     ^0.0^Cheongju International Airport
JOG     ^0.0^Adisucipto International Airport
XPJ     ^0.0^Montpellier St. Roch Railway Station
LUM     ^0.0^Mangshi Airport
TUI     ^0.0^Turaif Domestic Airport
FSZ     ^0.0^Mt. Fuji Shizuoka Airport
MJN     ^0.0^Amborovy Airport
BTH     ^0.0^Hang Nadim Airport
HSL     ^0.0^Huslia Airport
TGR     ^0.0^Touggourt
IPN     ^0.0^Usiminas Airport
YRL     ^0.0^Red Lake Airport
LUD     ^0.0^Lüderitz Airport
JIK     ^0.0^Ikaria Island National Airport
KMJ     ^0.0^Kumamoto Airport
SAB     ^0.0^Juancho E. Yrausquin Airport
NTG     ^0.0^Nantong Airport
XOP     ^0.0^Gare de Poitiers
PGA     ^0.0^Page Municipal Airport
VLV     ^0.0^Valera Airport
YYU     ^0.0^Kapuskasing Airport
UYU     ^0.0^Uyuni Airport
STM     ^0.0^Santarém-Maestro Wilson Fonseca Airport
WUA     ^0.0^Wuhai Airport
MCE     ^0.0^Merced Municipal Airport
HJJ     ^0.0^Zhijiang Airport
CXI     ^0.0^Cassidy International Airport
RIL     ^0.0^Garfield County Regional Airport
CZX     ^0.0^Changzhou Benniu Airport
AGM     ^0.0^Tasiilaq Heliport
SPP     ^0.0^Menongue Airport
KUS     ^0.0^Kulusuk Airport
KUN     ^0.0^Kaunas Airport
MDL     ^0.0^Mandalay International Airport
RJK     ^0.0^Rijeka/Krk Airport
HLD     ^0.0^Hulunbuir Hailar Airport
YXN     ^0.0^Whale Cove Airport
BRL     ^0.0^Burlington Municipal Airport
KTL     ^0.0^Kitale Airport
VCT     ^0.0^Victoria Regional Airport
SNE     ^0.0^Preguiça Airport
AKY     ^0.0^Akyab
OZC     ^0.0^Ozamiz City Airport
IRJ     ^0.0^Capitán Vicente Almandos Almonacid Airport
ALP     ^0.0^Aleppo International Airport
MSR     ^0.0^Muş Airport
DYG     ^0.0^Dayong Airport
ILY     ^0.0^Islay Airport
BND     ^0.0^Bandar Abbas International Airport
OIA     ^0.0^Ourilandia
YHY     ^0.0^Hay River/Merlyn Carter Airport
ULH     ^0.0^Prince Abdul Majeed bin Abdulaziz Domestic Airport
CBG     ^0.0^Cambridge International Airport
EGM     ^0.0^Seghe Airport
AXP     ^0.0^Spring Point Airport
SDP     ^0.0^Sand Point Airport
YGR     ^0.0^Îles-de-la-Madeleine Airport
KAC     ^0.0^Kamishli
YGJ     ^0.0^Miho–Yonago Airport
MWA     ^0.0^Williamson County Regional Airport
JTC     ^0.0^Bauru-Arealva Airport
YEV     ^0.0^Inuvik (Mike Zubko) Airport
GLH     ^0.0^Greenville International Airport
OHH     ^0.0^Okha Airport
UKB     ^0.0^Kobe Airport
CED     ^0.0^Ceduna Airport
IGD     ^0.0^Iğdır Airport
IPH     ^0.0^Sultan Azlan Shah Airport
UAH     ^0.0^Ua Huka Airport
BAL     ^0.0^Batman Airport
ATY     ^0.0^Watertown Municipal Airport
LSA     ^0.0^Losuia Airport
HVG     ^0.0^Honningsvåg Airport, Valan
KLX     ^0.0^Kalamata Airport
ZHA     ^0.0^Zhanjiang Airport
SJW     ^0.0^Shijiazhuang Zhengding International Airport
LRR     ^0.0^Lar
ZLN     ^0.0^Gare du Mans
ELD     ^0.0^Goodwin Field
ABR     ^0.0^Aberdeen Regional Airport
YNZ     ^0.0^Yancheng Nanyang Airport
WMN     ^0.0^Maroantsetra Airport
MPN     ^0.0^Mount Pleasant Airport
SHP     ^0.0^Qinhuangdao Shanhaiguan Airport
ABK     ^0.0^Kabri Dar Airport
GWL     ^0.0^Gwalior Airport
BUN     ^0.0^Buenaventura
XZZ     ^0.0^Zaragoza Delicias Railway Station
RHD     ^0.0^Las Termas Airport
SUG     ^-10.0^Surigao Airport
XJY     ^-10.0^Massy TGV Railway Station
LBL     ^-10.0^Liberal Mid-America Regional Airport
JSI     ^-10.0^Skiathos Airport 'Alexandros Papadiamantis'
OSK     ^-10.0^Oskarshamn Airport
DPL     ^-10.0^Dipolog Airport
YOP     ^-10.0^Rainbow Lake Airport
TUG     ^-10.0^Tuguegarao Airport
MGF     ^-10.0^Maringá Regional Airport
JMU     ^-10.0^Jiamusi Airport
YQL     ^-10.0^Lethbridge Airport
YAY     ^-20.0^Saint Anthony Airport
IFN     ^-20.0^Isfahan International Airport
LBF     ^-20.0^North Platte Regional Airport Lee Bird Field
LEN     ^-20.0^León Airport
XUZ     ^-20.0^Xuzhou Guanyin Airport
FLA     ^-20.0^Gustavo Artunduaga Paredes Airport
YRB     ^-20.0^Resolute Bay Airport
HDG     ^-20.0^Hebei Handan
TAG     ^-20.0^Bohol–Panglao International Airport
HRI     ^-20.0^Hambantota International Airport
BER     ^-20.0^Berlin Brandenburg Airport
RRG     ^-20.0^Sir Gaëtan Duval Airport
KSN     ^-20.0^Kostanay Airport
VDM     ^-20.0^Gobernador Edgardo Castello Airport
YCU     ^-20.0^Yuncheng Guangong Airport
BAV     ^-20.0^Baotou Erliban Airport
RXS     ^-30.0^Roxas
CGD     ^-30.0^Changde Airport
KKJ     ^-40.0^Kitakyushu Airport
XNN     ^-40.0^Xining Caojiabao Airport
KUU     ^-40.0^Kullu Manali Airport
FLW     ^-50.0^Flores Airport
MUA     ^-60.0^Munda
CXR     ^-60.0^Cam Ranh International Airport
SDJ     ^-70.0^Sendai Airport
MYJ     ^-80.0^Matsuyama Airport
UPG     ^-90.0^Sultan Hasanuddin International Airport
XWG     ^-90.0^Gare de Strasbourg
MZV     ^-350.0^Mulu Airport
AYQ     ^-1270.0^Ayers Rock Airport
